Date,Description,Amount
05/05/2026,SALARY PAYMENT,3184.22
08/05/2026,NETFLIX.COM SYDNEY AU,-18.99
12/05/2026,SPOTIFY P0A1B2C3,-13.99
19/05/2026,ANYTIME FITNESS SURRY HILLS,-21.95
23/05/2026,WOOLWORTHS 1423 NEWTOWN,-112.40
08/06/2026,NETFLIX.COM SYDNEY AU,-18.99
12/06/2026,SPOTIFY P0A1B2C3,-13.99
19/06/2026,ANYTIME FITNESS SURRY HILLS,-21.95
08/07/2026,NETFLIX.COM SYDNEY AU,-22.99
12/07/2026,SPOTIFY P0A1B2C3,-13.99
19/07/2026,ANYTIME FITNESS SURRY HILLS,-21.95
08/08/2026,NETFLIX.COM SYDNEY AU,-22.99
12/08/2026,SPOTIFY P0A1B2C3,-13.99
19/08/2026,ANYTIME FITNESS SURRY HILLS,-21.95
