Date,Description,Debit,Credit,Balance
26/09/2025,NETFLIX.COM SYDNEY AU,18.99,,4181.01
27/09/2025,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,4167.02
12/10/2025,STAN.COM.AU,12.00,,4155.02
12/10/2025,TRANSFER TO LANDLORD RENT,2400.00,,1755.02
21/10/2025,ANYTIME FITNESS SURRY HILLS,21.95,,1733.07
22/10/2025,SALARY QADAN ANALYSIS CONSULTING,,3184.22,4917.29
26/10/2025,NETFLIX.COM SYDNEY AU,18.99,,4898.30
27/10/2025,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,4884.31
04/11/2025,ANYTIME FITNESS SURRY HILLS,21.95,,4862.36
05/11/2025,SALARY QADAN ANALYSIS CONSULTING,,3184.22,8046.58
10/11/2025,ADOBE CREATIVE CLOUD,43.99,,8002.59
11/11/2025,STAN.COM.AU,12.00,,7990.59
11/11/2025,TRANSFER TO LANDLORD RENT,2400.00,,5590.59
18/11/2025,ANYTIME FITNESS SURRY HILLS,21.95,,5568.64
19/11/2025,SALARY QADAN ANALYSIS CONSULTING,,3184.22,8752.86
21/11/2025,SECURE PARKING MONTHLY PASS,45.00,,8707.86
25/11/2025,NETFLIX.COM SYDNEY AU,18.99,,8688.87
26/11/2025,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,8674.88
02/12/2025,ANYTIME FITNESS SURRY HILLS,21.95,,8652.93
03/12/2025,SALARY QADAN ANALYSIS CONSULTING,,3184.22,11837.15
10/12/2025,ADOBE CREATIVE CLOUD,43.99,,11793.16
11/12/2025,STAN.COM.AU,12.00,,11781.16
11/12/2025,TRANSFER TO LANDLORD RENT,2400.00,,9381.16
16/12/2025,ANYTIME FITNESS SURRY HILLS,21.95,,9359.21
17/12/2025,SALARY QADAN ANALYSIS CONSULTING,,3184.22,12543.43
21/12/2025,SECURE PARKING MONTHLY PASS,45.00,,12498.43
24/12/2025,HELLO FRESH AUSTRALIA,96.50,,12401.93
25/12/2025,NETFLIX.COM SYDNEY AU,18.99,,12382.94
26/12/2025,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,12368.95
30/12/2025,ANYTIME FITNESS SURRY HILLS,21.95,,12347.00
31/12/2025,SALARY QADAN ANALYSIS CONSULTING,,3184.22,15531.22
09/01/2026,ADOBE CREATIVE CLOUD,43.99,,15487.23
10/01/2026,STAN.COM.AU,12.00,,15475.23
10/01/2026,TRANSFER TO LANDLORD RENT,2400.00,,13075.23
13/01/2026,ANYTIME FITNESS SURRY HILLS,21.95,,13053.28
14/01/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,16237.50
20/01/2026,SECURE PARKING MONTHLY PASS,45.00,,16192.50
23/01/2026,HELLO FRESH AUSTRALIA,96.50,,16096.00
24/01/2026,NETFLIX.COM SYDNEY AU,18.99,,16077.01
25/01/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,16063.02
27/01/2026,ANYTIME FITNESS SURRY HILLS,21.95,,16041.07
28/01/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,19225.29
08/02/2026,ADOBE CREATIVE CLOUD,43.99,,19181.30
09/02/2026,STAN.COM.AU,12.00,,19169.30
09/02/2026,TRANSFER TO LANDLORD RENT,2400.00,,16769.30
10/02/2026,ANYTIME FITNESS SURRY HILLS,21.95,,16747.35
11/02/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,19931.57
19/02/2026,SECURE PARKING MONTHLY PASS,45.00,,19886.57
